cat,sample_type,phase,elev_minimum,aspect_average,infiltration_mode,emergence_50,emergence_500,emergence_1k,cent_elev,location,island_size,avg_fetch,viewsize_5k,viewsize_10k
5527,hull,lm,27.66731071,224.1534241,2,95.23867617,954.2905963,1374.122747,28.11284,mainland,,383.0421574,34021,34041
5528,hull,lm,25.80485344,224.5663452,2,176.2622396,983.4428121,1168.644255,27.84836,mainland,,853.93899,93656,111797
5529,hull,lm,31.52644348,226.4062653,2,27.0885209,859.5614925,1153.127562,31.72285,mainland,,20799.04241,74098,262982
5530,hull,lm,40.57786179,263.1846237,4,739.3691308,937.887945,882.4701953,40.81212,mainland,,876.2283459,112648,122634
5531,hull,lm,39.94985199,64.02150192,2,27.28746476,1080.374074,969.9090399,40.0581,island,2780500,510.233544,26221,26231
5532,hull,lm,23.49347687,58.06822777,2,92.73159372,995.5346674,1320.759402,24.75288,mainland,,929.2571659,126108,210736
5533,hull,lm,35.84907532,174.7723053,2,13.98413374,271.9009606,1001.199373,36.04293,mainland,,15294.8094,74203,216968
5534,hull,lm,43.4731369,64.13360214,2,22.41823572,813.6358213,660.8288306,43.52936,mainland,,5621.695643,76066,206428
5535,hull,lm,23.60463524,81.79659271,2,194.6668268,297.170224,439.1109188,23.63803,mainland,,7548.145952,60681,108680
5536,hull,lm,44.67624283,244.4161591,2,170.6257127,404.9244349,545.7637741,44.80196,mainland,,12550.52886,58209,198081
5537,hull,lm,23.23663712,126.3573418,2,268.3168904,368.8866565,337.5336163,23.71524,mainland,,128.6673285,6635,8294
5538,hull,lm,30.32188988,265.3241323,2,149.2145554,884.8870269,1088.394932,31.2707,island,3754900,738.6844918,95878,116343
5539,hull,lm,29.52766609,125.3802223,4,911.7226047,1493.97532,1536.256451,30.27832,mainland,,27.97274239,1365,1365
5540,hull,lm,29.84877968,338.155983,2,29.9394616,272.00111,404.1966162,30.04569,mainland,,389.0593167,36212,46239
5541,hull,lm,30.9647522,112.7271194,5,93.49617006,985.1091803,1125.313647,31.42076,mainland,,21293.77966,126517,344518
